ticker,tier,theme,notes
NVDA,core,ai-semis,#1 US options volume; penny spreads; weeklies+dailies
AMD,core,ai-semis,top-10 options volume; penny/nickel spreads; weeklies
AVGO,core,ai-semis,mega OI; AI networking/custom silicon; weeklies
TSM,core,ai-semis,liquid ADR chain; foundry bellwether; weeklies
MU,core,ai-semis,HBM/DRAM leader; very liquid; penny spreads; weeklies
QCOM,core,ai-semis,liquid megacap semi; tight spreads; weeklies
ARM,core,ai-semis,high-beta semi IP; nickel spreads; weeklies
INTC,core,ai-semis,huge options volume; penny spreads; weeklies
AAPL,core,software,top-3 options volume; penny spreads; weeklies+dailies
MSFT,core,software,mega OI; Azure/OpenAI capex; nickel spreads; weeklies
GOOGL,core,software,liquid megacap; Gemini/cloud AI; tight spreads; weeklies
AMZN,core,software,top options volume; AWS AI; penny spreads; weeklies
META,core,software,high options volume; AI capex; tight spreads; weeklies
TSLA,core,ev-auto,#2 single-name options volume; robotaxi/AI; dailies+weeklies
NFLX,core,comms,liquid megacap; high price = big premium moves; weeklies
PLTR,core,software,massive retail options volume; AI/defense; weeklies
MSTR,core,crypto,BTC proxy; extreme IV; top options volume; weeklies
COIN,core,crypto,crypto bellwether; very liquid; high IV; weeklies
HOOD,core,fintech,top options volume; high-beta; weeklies
SOFI,core,fintech,very high options volume; high-beta fintech; weeklies
MRVL,core,ai-semis,AI optical/custom silicon; liquid; weeklies
CRWD,core,software,cybersecurity leader; nickel spreads; weeklies
PANW,core,software,cybersecurity megacap; liquid; weeklies
SMCI,core,ai-semis,AI server play; extreme vol; heavy options volume; weeklies
ORCL,core,software,AI cloud capex; liquid megacap; weeklies
DELL,core,industrial,AI server demand; liquid; nickel spreads; weeklies
NOW,swing,software,ServiceNow AI; liquid; weeklies (high price)
SNOW,swing,software,data/AI; high-beta; liquid weeklies
NET,swing,software,Cloudflare; high-beta; liquid weeklies
CRM,swing,software,Salesforce AI; liquid; weeklies
CRWV,swing,software,CoreWeave GPU cloud; hot 2025 IPO; very liquid; high IV; weeklies
DDOG,swing,software,observability/AI; liquid; weeklies
ZS,swing,software,zero-trust cyber; liquid; weeklies
S,swing,software,SentinelOne; high-beta cyber; weeklies
FTNT,swing,software,Fortinet; liquid; weeklies
OKTA,swing,software,identity/cyber; liquid; weeklies
MDB,swing,software,MongoDB; high-beta; liquid weeklies
APP,swing,software,AppLovin AI adtech; huge momentum; liquid weeklies
RBRK,swing,software,Rubrik cyber/data; growing chain depth; weeklies
NBIS,swing,software,Nebius AI neocloud; hot; high IV; liquid weeklies
SHOP,swing,software,high-beta commerce/fintech; very liquid weeklies
ALAB,swing,ai-semis,Astera PCIe/connectivity; high-beta; liquid weeklies
CRDO,swing,ai-semis,Credo AEC connectivity; momentum; liquid weeklies
COHR,swing,ai-semis,optical transceivers; AI optics; liquid weeklies
LITE,swing,ai-semis,Lumentum optical; AI datacenter; liquid weeklies
AAOI,swing,ai-semis,Applied Opto; high-beta optics; high IV; liquid weeklies
ASML,swing,ai-semis,litho monopoly; liquid ADR; weeklies (high price)
AMAT,swing,ai-semis,semicap equipment; liquid; weeklies
LRCX,swing,ai-semis,semicap; liquid; weeklies
TER,swing,ai-semis,Teradyne test/robotics; liquid; weeklies
MPWR,swing,ai-semis,power mgmt for AI; liquid; weeklies (high price)
WDC,swing,ai-semis,storage/HDD; AI data demand; liquid weeklies
SNDK,swing,ai-semis,SanDisk NAND; 2025 spinoff; hot momentum; liquid weeklies
ANET,swing,comms,Arista AI networking; liquid; weeklies
CIEN,swing,comms,Ciena optical networking; liquid; weeklies
ASTS,swing,comms,AST SpaceMobile; huge options volume; high IV; weeklies
GLW,swing,industrial,Corning AI fiber/optics; liquid; weeklies
VRT,swing,industrial,Vertiv datacenter power/cooling; high-beta; liquid weeklies
ETN,swing,industrial,Eaton datacenter electrical; liquid; weeklies
GEV,swing,industrial,GE Vernova grid/power for AI; high-beta; liquid weeklies
CLS,swing,industrial,Celestica AI hardware; momentum; liquid weeklies
SYM,swing,industrial,Symbotic warehouse robotics; high-beta; liquid weeklies
APLD,swing,industrial,Applied Digital AI datacenters; high IV; liquid weeklies
CEG,swing,energy,Constellation nuclear for AI; liquid; weeklies
VST,swing,energy,Vistra power/nuclear; high-beta; liquid weeklies
TLN,swing,energy,Talen nuclear/datacenter PPAs; liquid weeklies
OKLO,swing,energy,Oklo SMR; extreme momentum/IV; liquid weeklies
SMR,swing,energy,NuScale SMR; high-beta; liquid weeklies
CCJ,swing,energy,Cameco uranium; liquid; weeklies
AVAV,swing,defense,AeroVironment drones; high-beta; liquid weeklies
KTOS,swing,defense,Kratos unmanned systems; high-beta; liquid weeklies
RCAT,swing,defense,Red Cat drones; small-cap high IV; liquid weeklies
RKLB,swing,defense,Rocket Lab space/defense; huge options volume; weeklies
LMT,swing,defense,Lockheed; liquid; weeklies (lower-beta anchor)
NOC,swing,defense,Northrop autonomous systems; liquid; weeklies
RTX,swing,defense,RTX; liquid; weeklies (lower-beta anchor)
AFRM,swing,fintech,Affirm BNPL; high-beta; liquid weeklies
XYZ,swing,fintech,Block; liquid; weeklies
NU,swing,fintech,Nubank; high-beta; liquid weeklies
CHYM,swing,fintech,Chime; 2025 IPO; verify chain depth; weeklies building
KLAR,swing,fintech,Klarna BNPL; 2025 IPO; verify chain depth
CRCL,swing,crypto,Circle stablecoin; 2025 IPO; very liquid; high IV; weeklies
GEMI,swing,crypto,Gemini exchange; 2025 IPO; liquid weeklies; high IV
MARA,swing,crypto,BTC miner; very liquid; high IV; weeklies
RIOT,swing,crypto,BTC miner; very liquid; high IV; weeklies
IREN,swing,crypto,IREN BTC/AI datacenter; momentum; liquid weeklies
UBER,swing,ev-auto,robotaxi/autonomy platform; very liquid; weeklies
RIVN,swing,ev-auto,Rivian EV; high-beta; very liquid; weeklies
ACHR,swing,ev-auto,Archer eVTOL; high options volume; high IV; weeklies
JOBY,swing,ev-auto,Joby eVTOL; high options volume; high IV; weeklies
SPY,etf,etf,deepest options market; penny spreads; dailies
QQQ,etf,etf,Nasdaq-100; penny spreads; dailies; AI-heavy
IWM,etf,etf,Russell 2000; liquid weeklies; high-beta small caps
SMH,etf,etf,semiconductor ETF; liquid; weeklies; AI-semis basket
SOXL,etf,etf,3x semis; extreme momentum; very liquid weeklies
TQQQ,etf,etf,3x Nasdaq; huge options volume; weeklies
XLK,etf,etf,tech sector SPDR; liquid; weeklies
ARKK,etf,etf,innovation/high-beta tech; liquid weeklies
IGV,etf,etf,software ETF; liquid; weeklies
URA,etf,etf,uranium/nuclear basket; liquid weeklies
